OrderKey,OrderAlternateKey,Order Date,Ship Date,Ship Mode
152156,CA-2016-152156,11/08/2016,11/11/2016,Second Class
138688,CA-2016-138688,06/12/2016,6/16/2016,Second Class
108966,US-2015-108966,10/11/2015,10/18/2015,Standard Class
115812,CA-2014-115812,06/09/2014,6/14/2014,Standard Class
114412,CA-2017-114412,4/15/2017,4/20/2017,Standard Class
161389,CA-2016-161389,12/05/2016,12/10/2016,Standard Class
118983,US-2015-118983,11/22/2015,11/26/2015,Standard Class
105893,CA-2014-105893,11/11/2014,11/18/2014,Standard Class
167164,CA-2014-167164,5/13/2014,5/15/2014,Second Class
143336,CA-2014-143336,8/27/2014,09/01/2014,Second Class
137330,CA-2016-137330,12/09/2016,12/13/2016,Standard Class
156909,US-2017-156909,7/16/2017,7/18/2017,Second Class
106320,CA-2015-106320,9/25/2015,9/30/2015,Standard Class
121755,CA-2016-121755,1/16/2016,1/20/2016,Second Class
150630,US-2015-150630,9/17/2015,9/21/2015,Standard Class
107727,CA-2017-107727,10/19/2017,10/23/2017,Second Class
117590,CA-2016-117590,12/08/2016,12/10/2016,First Class
117415,CA-2015-117415,12/27/2015,12/31/2015,Standard Class
120999,CA-2017-120999,09/10/2017,9/15/2017,Standard Class
101343,CA-2016-101343,7/17/2016,7/22/2016,Standard Class
139619,CA-2017-139619,9/19/2017,9/23/2017,Standard Class
118255,CA-2016-118255,03/11/2016,3/13/2016,First Class
146703,CA-2014-146703,10/20/2014,10/25/2014,Second Class
169194,CA-2016-169194,6/20/2016,6/25/2016,Standard Class
115742,CA-2015-115742,4/18/2015,4/22/2015,Standard Class
105816,CA-2016-105816,12/11/2016,12/17/2016,Standard Class
111682,CA-2016-111682,6/17/2016,6/18/2016,First Class
135545,CA-2015-135545,11/24/2015,11/30/2015,Standard Class
164175,US-2015-164175,4/30/2015,05/05/2015,Standard Class
106376,CA-2014-106376,12/05/2014,12/10/2014,Standard Class
119823,CA-2016-119823,06/04/2016,06/06/2016,First Class
106075,CA-2016-106075,9/18/2016,9/23/2016,Standard Class
114440,CA-2017-114440,9/14/2017,9/17/2017,Second Class
134026,US-2015-134026,4/26/2015,05/02/2015,Standard Class
118038,US-2017-118038,12/09/2017,12/11/2017,First Class
147606,US-2014-147606,11/26/2014,12/01/2014,Second Class
127208,CA-2016-127208,06/12/2016,6/15/2016,First Class
139451,CA-2014-139451,10/12/2014,10/16/2014,Standard Class
149734,CA-2015-149734,09/03/2015,09/08/2015,Standard Class
119662,US-2017-119662,11/13/2017,11/16/2017,First Class
140088,CA-2017-140088,5/28/2017,5/30/2017,Second Class
155558,CA-2017-155558,10/26/2017,11/02/2017,Standard Class
159695,CA-2016-159695,04/05/2016,04/10/2016,Second Class
109806,CA-2016-109806,9/17/2016,9/22/2016,Standard Class
149587,CA-2015-149587,1/31/2015,02/05/2015,Second Class
109484,US-2017-109484,11/06/2017,11/12/2017,Standard Class
161018,CA-2017-161018,11/09/2017,11/11/2017,Second Class
157833,CA-2017-157833,6/17/2017,6/20/2017,First Class
149223,CA-2016-149223,09/06/2016,09/11/2016,Standard Class
158568,CA-2016-158568,8/29/2016,09/02/2016,Standard Class
129903,CA-2016-129903,12/01/2016,12/04/2016,Second Class
156867,US-2015-156867,11/13/2015,11/17/2015,Standard Class
119004,CA-2017-119004,11/23/2017,11/28/2017,Standard Class
129476,CA-2015-129476,10/15/2015,10/20/2015,Standard Class
146780,CA-2017-146780,12/25/2017,12/30/2017,Standard Class
128867,CA-2016-128867,11/03/2016,11/10/2016,Standard Class
115259,CA-2014-115259,8/25/2014,8/27/2014,Second Class
110457,CA-2015-110457,03/02/2015,03/06/2015,Standard Class
136476,US-2015-136476,04/05/2015,04/10/2015,Standard Class
103730,CA-2016-103730,06/12/2016,6/15/2016,First Class
152030,US-2014-152030,12/26/2014,12/28/2014,Second Class
134614,US-2014-134614,9/20/2014,9/25/2014,Standard Class
107272,US-2017-107272,11/05/2017,11/12/2017,Standard Class
125969,US-2016-125969,11/06/2016,11/10/2016,Second Class
164147,US-2017-164147,02/02/2017,02/05/2017,First Class
145583,CA-2016-145583,10/13/2016,10/19/2016,Standard Class
110366,CA-2016-110366,09/05/2016,09/07/2016,Second Class
106180,CA-2017-106180,9/18/2017,9/23/2017,Standard Class
155376,CA-2017-155376,12/22/2017,12/27/2017,Standard Class
110744,CA-2015-110744,09/07/2015,09/12/2015,Standard Class
110072,CA-2014-110072,10/22/2014,10/28/2014,Standard Class
114489,CA-2016-114489,12/05/2016,12/09/2016,Standard Class
158834,CA-2016-158834,3/13/2016,3/16/2016,First Class
124919,CA-2015-124919,5/31/2015,06/02/2015,First Class
118948,CA-2015-118948,5/28/2015,06/03/2015,Standard Class
104269,CA-2014-104269,03/01/2014,03/06/2014,Second Class
114104,CA-2016-114104,11/20/2016,11/24/2016,Standard Class
162733,CA-2016-162733,05/11/2016,05/12/2016,First Class
119697,CA-2015-119697,12/28/2015,12/31/2015,Second Class
154508,CA-2016-154508,11/16/2016,11/20/2016,Standard Class
113817,CA-2016-113817,11/07/2016,11/11/2016,Standard Class
139892,CA-2014-139892,09/08/2014,09/12/2014,Standard Class
118962,CA-2014-118962,08/05/2014,08/09/2014,Standard Class
100853,US-2014-100853,9/14/2014,9/19/2014,Standard Class
152366,US-2017-152366,4/21/2017,4/25/2017,Second Class
101511,US-2015-101511,11/21/2015,11/23/2015,Second Class
137225,CA-2015-137225,12/15/2015,12/19/2015,Standard Class
166191,CA-2014-166191,12/05/2014,12/09/2014,Second Class
158274,CA-2014-158274,11/19/2014,11/24/2014,Second Class
