SalesKey,OrderKey,CustomerKey,SalesTheritoryKey,ProductKey,Sales,Quantity,Discount,Profit
1,152156,12520,42420,10001798,261.96,2,0,41.9136
2,152156,12520,42420,10000454,731.94,3,0,219.582
3,138688,13045,90036,10000240,14.62,2,0,6.8714
4,108966,20335,33311,10000577,957.5775,5,0.45,-383.031
5,108966,20335,33311,10000760,22.368,2,0.2,2.5164
6,115812,11710,90032,10001487,48.86,7,0,14.1694
7,115812,11710,90032,10002833,7.28,4,0,1.9656
8,115812,11710,90032,10002275,907.152,6,0.2,90.7152
9,115812,11710,90032,10003910,18.504,3,0.2,5.7825
10,115812,11710,90032,10002892,114.9,5,0,34.47
11,115812,11710,90032,10001539,1706.184,9,0.2,85.3092
12,115812,11710,90032,10002033,911.424,4,0.2,68.3568
13,114412,10480,28027,10002365,15.552,3,0.2,5.4432
14,161389,15070,98103,10003656,407.976,3,0.2,132.5922
15,118983,14815,76106,10002311,68.81,5,0.8,-123.858
16,118983,14815,76106,10000756,2.544,3,0.8,-3.816
17,105893,19075,53711,10004186,665.88,6,0,13.3176
18,167164,10270,84084,10000107,55.5,2,0,9.99
19,143336,21925,94109,10003056,8.56,2,0,2.4824
20,143336,21925,94109,10001949,213.48,3,0.2,16.011
21,143336,21925,94109,10002215,22.72,4,0.2,7.384
22,137330,16585,68025,10000246,19.46,7,0,5.0596
23,137330,16585,68025,10001492,60.34,7,0,15.6884
24,156909,20065,19140,10002774,71.372,2,0.3,-1.0196
25,106320,13870,84057,10000577,1044.63,3,0,240.2649
26,121755,13945,90049,10001634,11.648,2,0.2,4.2224
27,121755,13945,90049,10003027,90.57,3,0,11.7741
28,150630,21520,19140,10004834,3083.43,7,0.5,-1665.0522
29,150630,21520,19140,10000474,9.618,2,0.7,-7.0532
30,150630,21520,19140,10004848,124.2,3,0.2,15.525
31,150630,21520,19140,10001509,3.264,2,0.2,1.1016
32,150630,21520,19140,10004042,86.304,6,0.2,9.7092
33,150630,21520,19140,10001525,6.858,6,0.7,-5.715
34,150630,21520,19140,10001683,15.76,2,0.2,3.546
35,107727,17560,77095,10000249,29.472,3,0.2,9.9468
36,117590,14485,75080,10004977,1097.544,7,0.2,123.4737
37,117590,14485,75080,10003664,190.92,5,0.6,-147.963
38,117415,20710,77041,10002986,113.328,9,0.2,35.415
39,117415,20710,77041,10002545,532.3992,3,0.32,-46.9764
40,117415,20710,77041,10004218,212.058,3,0.3,-15.147
41,117415,20710,77041,10000486,371.168,4,0.2,41.7564
42,120999,16930,60540,10004093,147.168,4,0.2,16.5564
43,101343,19885,90049,10003479,77.88,2,0,3.894
44,139619,14080,32935,10003282,95.616,2,0.2,9.5616
45,118255,18715,55122,10000171,45.98,2,0,19.7714
46,118255,18715,55122,10003291,17.46,2,0,8.2062
47,146703,18865,48185,10001713,211.96,4,0,8.4784
48,169194,16900,19901,10002167,45,3,0,4.95
49,169194,16900,19901,10003988,21.8,2,0,6.104
