Row ID,Category
1,Furniture
2,Furniture
3,Office Supplies
4,Furniture
5,Office Supplies
6,Furniture
7,Office Supplies
8,Technology
9,Office Supplies
10,Office Supplies
11,Furniture
12,Technology
13,Office Supplies
14,Office Supplies
15,Office Supplies
16,Office Supplies
17,Office Supplies
18,Office Supplies
19,Office Supplies
20,Technology
21,Office Supplies
22,Office Supplies
23,Office Supplies
24,Furniture
25,Furniture
26,Office Supplies
27,Technology
28,Furniture
29,Office Supplies
30,Furniture
31,Office Supplies
32,Office Supplies
33,Office Supplies
34,Office Supplies
35,Office Supplies
36,Technology
37,Furniture
38,Office Supplies
39,Furniture
40,Furniture
41,Technology
42,Technology
43,Office Supplies
44,Office Supplies
45,Technology
46,Office Supplies
47,Office Supplies
48,Technology
49,Technology
50,Office Supplies
51,Office Supplies
52,Furniture
53,Furniture
54,Office Supplies
55,Technology
56,Office Supplies
57,Office Supplies
58,Furniture
59,Office Supplies
60,Technology
61,Office Supplies
62,Office Supplies
63,Technology
64,Office Supplies
65,Office Supplies
66,Furniture
67,Furniture
68,Office Supplies
69,Technology
70,Office Supplies
71,Office Supplies
72,Office Supplies
73,Furniture
74,Furniture
75,Office Supplies
76,Office Supplies
77,Furniture
78,Office Supplies
79,Furniture
80,Office Supplies
81,Office Supplies
82,Office Supplies
83,Office Supplies
84,Office Supplies
85,Office Supplies
86,Furniture
87,Technology
88,Office Supplies
89,Office Supplies
90,Office Supplies
91,Technology
92,Office Supplies
93,Office Supplies
94,Furniture
95,Office Supplies
96,Office Supplies
97,Furniture
98,Office Supplies
99,Office Supplies
100,Office Supplies
101,Technology
102,Office Supplies
103,Office Supplies
104,Technology
105,Furniture
106,Office Supplies
107,Technology
108,Technology
109,Office Supplies
110,Technology
111,Furniture
112,Office Supplies
113,Office Supplies
114,Office Supplies
115,Office Supplies
116,Office Supplies
117,Office Supplies
118,Furniture
119,Office Supplies
120,Furniture
121,Office Supplies
122,Office Supplies
123,Office Supplies
124,Technology
125,Furniture
126,Furniture
127,Office Supplies
128,Office Supplies
129,Furniture
130,Furniture
131,Technology
132,Office Supplies
133,Office Supplies
134,Office Supplies
135,Office Supplies
136,Office Supplies
137,Office Supplies
138,Office Supplies
139,Office Supplies
140,Furniture
141,Furniture
142,Office Supplies
143,Office Supplies
144,Office Supplies
145,Office Supplies
146,Office Supplies
147,Furniture
148,Technology
149,Technology
150,Furniture
151,Office Supplies
152,Office Supplies
153,Technology
154,Office Supplies
155,Office Supplies
156,Office Supplies
157,Office Supplies
158,Furniture
159,Office Supplies
160,Technology
161,Office Supplies
162,Technology
163,Office Supplies
164,Office Supplies
165,Office Supplies
166,Technology
167,Office Supplies
168,Furniture
169,Office Supplies
170,Office Supplies
171,Technology
172,Office Supplies
173,Office Supplies
174,Furniture
175,Office Supplies
176,Office Supplies
177,Office Supplies
178,Furniture
179,Office Supplies
180,Office Supplies
181,Office Supplies
182,Technology
183,Technology
184,Technology
185,Technology
186,Office Supplies
187,Technology
188,Office Supplies
189,Office Supplies
190,Furniture
191,Technology
192,Office Supplies
193,Furniture
194,Office Supplies
195,Office Supplies
196,Office Supplies
197,Office Supplies
198,Office Supplies
199,Office Supplies
200,Office Supplies
201,Office Supplies
202,Furniture
203,Office Supplies
204,Office Supplies
205,Furniture
206,Technology
207,Office Supplies
208,Technology
209,Office Supplies
210,Office Supplies
211,Office Supplies
212,Technology
213,Office Supplies
214,Furniture
215,Technology
216,Technology
217,Technology
218,Office Supplies
219,Technology
220,Office Supplies
221,Office Supplies
222,Office Supplies
223,Furniture
224,Technology
225,Office Supplies
226,Office Supplies
227,Furniture
228,Office Supplies
229,Furniture
230,Furniture
231,Office Supplies
232,Furniture
233,Furniture
234,Office Supplies
235,Furniture
236,Technology
237,Office Supplies
238,Office Supplies
239,Furniture
240,Furniture
241,Technology
242,Furniture
243,Furniture
244,Office Supplies
245,Furniture
246,Office Supplies
247,Office Supplies
248,Office Supplies
249,Office Supplies
250,Furniture
251,Office Supplies
252,Technology
253,Office Supplies
254,Office Supplies
255,Furniture
256,Office Supplies
257,Office Supplies
258,Technology
259,Technology
260,Office Supplies
261,Office Supplies
262,Office Supplies
263,Technology
264,Technology
265,Technology
266,Technology
267,Office Supplies
268,Office Supplies
269,Office Supplies
270,Office Supplies
271,Office Supplies
272,Technology
273,Furniture
274,Office Supplies
275,Office Supplies
276,Office Supplies
277,Office Supplies
278,Office Supplies
279,Office Supplies
280,Office Supplies
281,Office Supplies
282,Technology
283,Furniture
284,Office Supplies
285,Technology
286,Office Supplies
287,Office Supplies
288,Office Supplies
289,Office Supplies
290,Office Supplies
291,Office Supplies
292,Technology
293,Furniture
294,Furniture
295,Furniture
296,Furniture
297,Office Supplies
298,Office Supplies
299,Office Supplies
300,Office Supplies
301,Office Supplies
302,Furniture
303,Office Supplies
304,Furniture
305,Furniture
306,Office Supplies
307,Office Supplies
308,Office Supplies
309,Office Supplies
310,Furniture
311,Furniture
312,Furniture
313,Office Supplies
314,Furniture
315,Technology
316,Office Supplies
317,Office Supplies
318,Furniture
319,Technology
320,Technology
321,Technology
322,Office Supplies
323,Office Supplies
324,Office Supplies
325,Technology
326,Furniture
327,Technology
328,Office Supplies
329,Furniture
330,Office Supplies
331,Office Supplies
332,Technology
333,Office Supplies
334,Office Supplies
335,Office Supplies
